# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
58000 -106.03 105.269 270.228 282.268 290.347 295.844 302.292 303.516 300.491 309.778 321.716 326.493
59000 -106.751 107.983 269.833 280.479 291.182 295.977 302.669 302.143 300.691 310.215 321.415 326.204
60000 -108.762 108.175 269.206 282.469 290.606 295.382 302.938 302.938 301.199 309.277 322.369 325.631
61000 -109.641 109.249 269.209 282.557 289.303 295.656 303.212 304 299.67 311.29 320.834 326.242
62000 -111.693 110.196 269.291 283.557 287.693 296.274 303.545 303.389 298.988 311.971 320.331 327.185
63000 -111.372 111.414 268.14 284.921 287.403 296.224 303.545 302.974 299.206 313.616 319.579 329.081
64000 -113.981 113.684 266.02 285.444 287.902 295.624 305.637 298.785 300.462 313.544 319.987 328.306
65000 -115.898 115.535 266.737 285.506 287.243 296.576 304.664 299.003 303.299 310.794 320.696 329.46
66000 -117.625 113.338 268.168 283.185 288.651 296.346 302.178 300.388 304.727 308.158 323.146 328.469
67000 -115.907 114.551 268.343 282.925 288.938 296.28 302.522 300 305.388 308.704 324.283 325.451
68000 -119.69 115.22 269.96 281.269 289.979 296.937 301.632 300.36 304.354 310.155 322.578 328.665
69000 -118.638 116.34 271.932 280.046 290.974 295.372 302.012 300.802 303.058 310.391 321.262 328.545
70000 -120.387 117.65 271.113 279.84 291.956 294.325 301.324 300.97 302.814 311.567 320.902 328.64
71000 -121.753 120.743 270.489 279.586 291.667 293.952 300.959 303.389 300.547 312.856 320.553 329.019
72000 -122.046 121.732 269.693 280.68 289.443 294.776 300.35 303.911 301.186 312.575 319.983 329.682
73000 -122.531 123.464 268.547 282.448 286.897 297.005 299.551 303.415 301.865 313.82 319.985 329.328
74000 -122.551 124.15 268.892 282.21 285.348 297.732 299.359 301.924 303.854 313.544 317.993 329.656
75000 -123.643 125.36 269.962 280.854 287.586 297.657 298.789 301.899 304.209 313.887 318.287 327.16
76000 -122.344 126.89 270.008 279.671 287.861 296.285 298.107 303.256 303.94 314.649 319.816 325.658
77000 -126.442 128.606 269.486 278.347 288.595 295.376 299.418 301.955 306.423 313.799 319.269 327.316
78000 -127.619 131.663 268.86 278.711 287.66 294.916 300.372 301.955 306.045 313.43 318.696 329.402
79000 -128.752 131.729 267.206 279.041 287.842 294.699 300.523 302.673 305.084 312.627 319.965 328.849
80000 -132.745 132.605 267.102 278.091 288.12 295.149 300.013 302.396 305.34 312.603 320.42 329.7
81000 -133.915 134.547 267.273 277.797 286.443 295.98 299.836 302.757 304.224 312.024 321.619 331.641
82000 -136.425 136.954 268.132 276.048 287.439 294.736 301.416 302.247 303.627 313.372 321.615 332.336
83000 -136.863 138.215 267.113 276.128 287.277 295.755 300.372 301.87 303.676 313.954 321.945 330.976
84000 -138.898 137.926 267.188 276.435 288.25 295.178 299.179 302.787 303.582 314.497 321.336 333.376
85000 -138.101 138.97 266.876 277.646 288.845 295.586 297.128 303.906 302.359 315.298 320.622 333.576
86000 -139.996 140.096 267.115 277.034 288.29 296.505 296.186 303.751 303.212 314.577 320.59 334.809
87000 -143.699 141.091 267.427 277.81 287.998 296.448 297.513 302.352 302.554 315.343 320.949 335.811
88000 -143.838 140.222 267.424 277.401 287.468 297.411 297.163 300.671 302.141 316.473 321.19 335.507
89000 -142.302 141.908 266.846 277.95 287.656 296.205 297.744 301.327 301.779 315.2 322.216 334.859
90000 -143.997 145.723 266.226 277.3 289.069 294.848 297.899 301.53 303.233 314.49 323.175 333.227
91000 -143.716 146.036 263.587 279.144 287.327 296.037 296.315 302.425 304.55 312.968 323.286 332.878
92000 -145.704 147.402 262.888 278.788 286.605 296.847 296.222 302.632 305.339 311.045 325.229 331.982
93000 -147.949 149.025 263.388 278.21 287.385 295.552 296.985 301.046 307.494 311.066 324.226 332.824
94000 -147.419 148.306 264.445 279.267 287.156 295.708 295.332 300.796 306.537 312.194 324.112 332.838
95000 -148.812 150.873 265.665 277.429 288.496 295.907 294.137 300.487 307.666 312.782 323.509 333.817
96000 -151.154 152.171 265.645 275.478 290.152 295.693 292.479 301.062 307.161 314.575 322.632 335.251
97000 -152.476 153.6 266.032 275.791 289.91 294.889 294.072 300.387 307.437 315.816 320.615 335.791
98000 -152.332 154.673 265.881 275.986 289.803 294.117 294.778 299.984 307.098 316.566 319.16 336.735
99000 -154.53 157.691 265.404 276.288 288.333 293.511 296.912 299.695 306.371 317.238 317.885 338.088
100000 -153.722 158.476 265.309 276.219 287.792 292.976 297.356 299.633 305.847 316.806 319.212 336.32
101000 -156.532 157.916 264.716 277.467 286.724 292.625 297.279 301.502 304.728 316.43 318.998 338.271
102000 -157.453 159.982 264.572 278.989 285.441 293.198 296.601 301.368 305.277 316.263 319.548 337.524
103000 -155.847 161.65 264.081 279.778 284.123 292.309 297.781 299.699 308.924 313.753 321.18 336.367
104000 -159.001 163.293 264.24 281.222 282.93 292.444 297.793 300.142 309.164 313.254 322.012 335.977
105000 -161.92 163.816 263.754 280.187 282.711 292.246 298.89 299.789 308.409 312.584 322.817 336.747
106000 -163.412 164.849 265.589 278.394 284.916 290.204 299.631 300.499 309.156 310.382 323.377 337.003
107000 -162.977 163.704 265.971 277.785 285.404 288.836 300.12 300.932 307.789 312.775 322.993 335.59
108000 -165.026 167.64 264.973 277.873 285.587 289.2 299.061 302.223 306.409 314.639 322.836 335.74
109000 -166.105 168.267 264.114 278.11 284.626 291.934 296.32 303.584 306.705 314.565 324.194 334.353
110000 -167.441 169.929 264.381 278.591 283.915 291.933 295.973 302.307 308.791 313.502 325.274 334.032
111000 -166.91 172.209 263.258 279.05 283.13 291.34 295.927 302.88 309.608 313.231 325.407 334.299
112000 -170.561 172.634 264.578 277.844 283.03 292.514 294.665 303.68 309.666 314.109 323.511 335.542
113000 -171.749 174.32 264.944 277.724 283.333 293.174 293.273 303.716 309.611 312.92 324.401 336.553
